subject_type,subject,relation,object_type,object,evidence,source_file
Contractor,راه‌سازان آریا,EXECUTOR_OF,Project,بهسازی پل صدر,شهرداری منطقه ۳ تهران اجرای پروژه بهسازی پل صدر را به شرکت راه‌سازان آریا واگذار کرد.,data/raw/contract_sadr_bridge.txt
Project,بهسازی پل صدر,LOCATED_IN,Location,قیطریه,این پروژه در محله قیطریه و محدوده بزرگراه صدر قرار دارد.,data/raw/contract_sadr_bridge.txt
Project,بهسازی پل صدر,LOCATED_IN,Location,بزرگراه صدر,این پروژه در محله قیطریه و محدوده بزرگراه صدر قرار دارد.,data/raw/contract_sadr_bridge.txt
Official,ناهید علوی,SUPERVISOR_OF,Project,بهسازی پل صدر,مهندس ناهید علوی به عنوان ناظر عالی پروژه معرفی شد و مسئولیت کنترل زمان‌بندی، کیفیت اجرا و تأیید صورت‌وضعیت‌ها را بر عهده دارد.,data/raw/contract_sadr_bridge.txt
Budget,۱۴۰۳ - ۳ - ۱۷,FINANCES,Project,بهسازی پل صدر,ردیف بودجه عمرانی ۱۴۰۳ - ۳ - ۱۷ با مبلغ ۴۲۰ میلیارد ریال، تأمین مالی پروژه بهسازی پل صدر را پوشش می‌دهد.,data/raw/contract_sadr_bridge.txt
Project,تعریض خیابان شریعتی,LOCATED_IN,Location,منطقه ۷ تهران,پروژه تعریض خیابان شریعتی در منطقه ۷ تهران و حدفاصل میدان قدس تا خیابان مطهری اجرا می‌شود.,data/raw/project_report_shariati_widening.txt
Contractor,عمران‌گستر پایتخت,EXECUTOR_OF,Project,تعریض خیابان شریعتی,شرکت عمران‌گستر پایتخت به عنوان پیمانکار اجرایی پروژه معرفی‌شده است.,data/raw/project_report_shariati_widening.txt
Official,کامران رضایی,SUPERVISOR_OF,Project,تعریض خیابان شریعتی,مهندس کامران رضایی، مدیر پروژه معاونت فنی و عمرانی، بر اجرای پروژه تعریض خیابان شریعتی نظارت می‌کند.,data/raw/project_report_shariati_widening.txt
Budget,حمل‌ونقل ۱۴۰۳ - ۷ - ۰۹,FINANCES,Project,تعریض خیابان شریعتی,بودجه مصوب طرح با عنوان ردیف بودجه حمل‌ونقل ۱۴۰۳ - ۷ - ۰۹ و اعتبار ۸۷۰ میلیارد ریال برای تأمین مالی پروژه تعریض خیابان شریعتی اختصاص‌یافته است.,data/raw/project_report_shariati_widening.txt
Project,نوسازی بازار تجریش,LOCATED_IN,Location,تجریش,پروژه نوسازی بازار تجریش در منطقه ۱ تهران و محله تجریش در حال اجراست.,data/raw/report_tajrish_bazaar.txt
Project,نوسازی بازار تجریش,LOCATED_IN,Location,منطقه ۱,پروژه نوسازی بازار تجریش در منطقه ۱ تهران و محله تجریش در حال اجراست.,data/raw/report_tajrish_bazaar.txt
Contractor,بازآفرینان کهن,EXECUTOR_OF,Project,نوسازی بازار تجریش,شرکت بازآفرینان کهن به عنوان پیمانکار اجرایی پروژه نوسازی بازار تجریش انتخاب‌شده است.,data/raw/report_tajrish_bazaar.txt
Official,مهتاب صدقی,SUPERVISOR_OF,Project,نوسازی بازار تجریش,مهندس مهتاب صدقی به عنوان ناظر پروژه نوسازی بازار تجریش معرفی شد و مسئول هماهنگی با کسبه و کنترل مراحل اجراست.,data/raw/report_tajrish_bazaar.txt
Budget,بازآفرینی ۱۴۰۳ - ۲ - ۵۸,FINANCES,Project,نوسازی بازار تجریش,ردیف بودجه بازآفرینی ۱۴۰۳ - ۲ - ۵۸ با اعتبار ۵۴۰ میلیارد ریال تأمین مالی پروژه نوسازی بازار تجریش را پوشش می‌دهد.,data/raw/report_tajrish_bazaar.txt
Official,ناهید علوی,SUPERVISOR_OF,Project,بهسازی پل صدر,مهندس ناهید علوی تأکید کرد که نظارت عالی پروژه بهسازی پل صدر همچنان بر عهده اوست,data/raw/supervision_minutes.docx
Contractor,شهرسازان نوین,EXECUTOR_OF,Project,بازآفرینی میدان صنعت,برای پروژه بازآفرینی میدان صنعت، شرکت شهرسازان نوین به عنوان مجری معرفی شد,data/raw/supervision_minutes.docx
Project,بازآفرینی میدان صنعت,LOCATED_IN,Location,منطقه ۲ تهران,این پروژه در منطقه ۲ تهران و محله شهرک غرب اجرا می‌شود,data/raw/supervision_minutes.docx
Project,بازآفرینی میدان صنعت,LOCATED_IN,Location,شهرک غرب,این پروژه در منطقه ۲ تهران و محله شهرک غرب اجرا می‌شود,data/raw/supervision_minutes.docx
Official,سارا ملکی,SUPERVISOR_OF,Project,بازآفرینی میدان صنعت,مهندس سارا ملکی به عنوان ناظر پروژه بازآفرینی میدان صنعت منصوب شد,data/raw/supervision_minutes.docx
Budget,بازآفرینی ۱۴۰۳ - ۲ - ۳۳,FINANCES,Project,بازآفرینی میدان صنعت,ردیف بودجه بازآفرینی ۱۴۰۳ - ۲ - ۳۳ با اعتبار ۳۱۵ میلیارد ریال برای تأمین مالی پروژه بازآفرینی میدان صنعت ثبت شد,data/raw/supervision_minutes.docx
Official,مهتاب صدقی,SUPERVISOR_OF,Project,نوسازی بازار تجریش,پروژه نوسازی بازار تجریش زیر نظر مهندس مهتاب صدقی با هماهنگی کسبه پیش برود,data/raw/supervision_minutes.docx
